id	year
9393	1990
14032	2003
15408	2007
26548	2013
26913	1993
28716	2003
31898	1967
32740	1997
45006	2001
45788	2008
56146	1993
56369	1986
58351	2012
61797	2001
62609	2002
65354	2003
65832	2008
67292	1996
69615	2006
72623	2011
76296	2010
80636	1998
82935	1999
86595	2006
89425	2001
93132	2005
104413	1998
105912	2006
107426	1992
115510	1995
124643	1997
125743	1949
128741	2014
129758	1993
134847	2008
135259	2011
141927	1993
146548	2015
152968	2000
153163	1968
154790	1998
154941	1989
156850	1998
165389	2008
167232	1980
170426	1990
174605	1957
177159	1982
184481	1999
185493	2012
189029	1958
199774	2001
200169	1995
204471	2011
207263	2006
207906	2006
211395	2009
214472	1993
223349	2007
233309	2002
234453	1980
240174	1973
253197	2009
261201	1996
267545	2002
280151	2006
281630	2010
287751	1993
288117	2001
297478	2013
304540	2013
306613	2003
307606	2010
314319	1985
318378	1981
323737	1994
324664	1969
324834	2012
342489	1997
344600	2000
345263	1988
350409	1987
353292	2014
362083	2001
363998	2001
366871	2012
367247	2007
371266	2009
375258	2015
381025	1996
385132	2001
392176	2011
394636	2009
406848	1986
407219	2005
409424	1972
411638	2010
414742	2005
423707	2006
425901	2002
426696	2007
427217	2001
428284	2007
444804	1992
453376	2015
458688	1994
460624	2002
468524	1985
472690	2003
481522	2003
487479	2007
489521	2001
489533	2000
492709	1997
498659	1978
516246	1990
517381	2014
524284	2003
526564	1995
531181	2013
532846	2011
534849	2001
538601	2003
554259	1984
554476	2009
556892	2002
558011	2001
562800	2010
565317	1995
565418	2001
570125	2007
571199	2009
573455	2002
580196	1974
587682	2006
599451	1989
600220	2004
610538	2006
612525	1996
616008	1972
629863	1999
635095	1996
638090	1962
639100	1986
641539	2004
648212	2005
653237	2004
655599	1988
664057	1987
668935	1983
672235	2001
676966	1964
680210	2009
682222	2007
684229	2011
701714	2003
712506	1981
713146	2006
713911	2010
715354	2009
718262	1985
719573	2002
727877	2000
733082	2004
734073	1999
737355	2007
737415	1999
